order_group,diff_month,user_cnt,retention_rate
1-2,0,15729,1.0
1-2,1,202,0.0128
1-2,2,264,0.0168
1-2,3,227,0.0144
1-2,4,234,0.0149
1-2,5,284,0.0181
1-2,6,296,0.0188
1-2,7,161,0.0102
1-2,8,199,0.0127
1-2,9,172,0.0109
1-2,10,171,0.0109
1-2,11,182,0.0116
1-2,12,242,0.0154
20-41,0,6235,1.0
20-41,1,3803,0.6099
20-41,2,4820,0.7731
20-41,3,4603,0.7383
20-41,4,4509,0.7232
20-41,5,4562,0.7317
20-41,6,4440,0.7121
20-41,7,4365,0.7001
20-41,8,4413,0.7078
20-41,9,4253,0.6821
20-41,10,4179,0.6702
20-41,11,4044,0.6486
20-41,12,3970,0.6367
3-5,0,8963,1.0
3-5,1,789,0.088
3-5,2,1220,0.1361
3-5,3,1367,0.1525
3-5,4,1391,0.1552
3-5,5,1148,0.1281
3-5,6,1179,0.1315
3-5,7,965,0.1077
3-5,8,1236,0.1379
3-5,9,995,0.111
3-5,10,919,0.1025
3-5,11,743,0.0829
3-5,12,1000,0.1116
42+,0,5211,1.0
42+,1,4983,0.9562
42+,2,4962,0.9522
42+,3,5007,0.9609
42+,4,4983,0.9562
42+,5,5002,0.9599
42+,6,5000,0.9595
42+,7,4943,0.9486
42+,8,4962,0.9522
42+,9,4935,0.947
42+,10,4934,0.9468
42+,11,4847,0.9301
42+,12,4806,0.9223
6-19,0,14104,1.0
6-19,1,3711,0.2631
6-19,2,5386,0.3819
6-19,3,6026,0.4273
6-19,4,6034,0.4278
6-19,5,5721,0.4056
6-19,6,5535,0.3924
6-19,7,5135,0.3641
6-19,8,5166,0.3663
6-19,9,4684,0.3321
6-19,10,4441,0.3149
6-19,11,4141,0.2936
6-19,12,4005,0.284